"Source:","/home/robocon/PCB/PCB/POS_card/POS_card.kicad_sch"
"Date:","Fri Feb 25 23:14:53 2022"
"Tool:","Eeschema 6.0.2-378541a8eb~116~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","74"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","PARTREV","STANDARD"
"","","C1","22pF","Device:C_Small","","~","","","",""
"","","C2","22pF","Device:C_Small","","~","","","",""
"","","C3","100nF","Device:C_Small","","~","","","",""
"","","C4","100n","Device:C_Small","","~","","","",""
"","","C5","100n","Device:C_Small","","~","","","",""
"","","C6","1u","Device:C_Small","","~","","","",""
"","","C7","100n","Device:C_Small","","~","","","",""
"","","C8","100n","Device:C_Small","","~","","","",""
"","","C9","1u","Device:C_Small","","~","","","",""
"","","C10","100nf","Device:C_Small","","~","","","",""
"","","C11","100n","Device:C_Small","","~","","","",""
"","","C12","100n","Device:C_Small","","~","","","",""
"","","C13","100n","Device:C_Small","","~","","","",""
"","","C14","100n","Device:C_Small","","~","","","",""
"","","C15","100nf","Device:C_Small","","~","","","",""
"","","C16","100n","Device:C_Small","","~","","","",""
"","","C17","100nf","Device:C_Small","","~","","","",""
"","","C18","27p","Device:C_Small","","~","","","",""
"","","C19","27p","Device:C_Small","","~","","","",""
"","","C20","10u","Device:C_Small","","~","","","",""
"","","C21","100nF","Device:C_Small","","~","","","",""
"","","C22","10u","Device:C_Small","","~","","","",""
"","","C23","100nF","Device:C_Small","","~","","","",""
"","","D1","User_LED","Device:LED_Small","","~","","","",""
"","","D2","power","Device:LED_Small","","~","","","",""
"","","J1","molex3.0 2x2","Connector_Generic:Conn_02x02_Counter_Clockwise","","~","","","",""
"","","J2","UART","Connector_Generic:Conn_01x04","","~","","","",""
"","","J3","SWD","Connector_Generic:Conn_01x04","","~","","","",""
"","","J4","USB_B_Micro","Connector:USB_B_Micro","","~","","","",""
"","","J5","Conn_01x02","Connector_Generic:Conn_01x02","","~","","","",""
"","","J6","Encoder1","Connector_Generic:Conn_01x05","","~","","","",""
"","","J7","Encoder2","Connector_Generic:Conn_01x05","","~","","","",""
"","","JP1","Term.","Jumper:Jumper_2_Bridged","","~","","","",""
"","","Q1","BSS138","Transistor_FET:BSS138","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/BSS138-D.PDF","","","",""
"","","Q2","BSS138","Transistor_FET:BSS138","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/BSS138-D.PDF","","","",""
"","","Q3","BSS138","Transistor_FET:BSS138","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/BSS138-D.PDF","","","",""
"","","Q4","BSS138","Transistor_FET:BSS138","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/BSS138-D.PDF","","","",""
"","","Q5","BSS138","Transistor_FET:BSS138","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/BSS138-D.PDF","","","",""
"","","Q6","BSS138","Transistor_FET:BSS138","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/BSS138-D.PDF","","","",""
"","","R1","10k","Device:R_Small","","~","","","",""
"","","R2","27.4","Device:R_Small","","~","","","",""
"","","R3","27.4","Device:R_Small","","~","","","",""
"","","R4","6k8","Device:R_Small","","~","","","",""
"","","R5","10k","Device:R_Small","","~","","","",""
"","","R6","10k","Device:R_Small","","~","","","",""
"","","R7","10k","Device:R_Small","","~","","","",""
